neighborhood,complaint_id
Albany Park,3
Andersonville,1
Armour Square,1
Austin,2
Belmont Cragin,2
Beverly,1
Calumet Heights,4
Chinatown,1
East Village,1
Edgewater,1
Englewood,3
Garfield Park,2
Garfield Ridge,3
Gold Coast,2
Grand Boulevard,1
Hermosa,1
Humboldt Park,5
Hyde Park,1
Irving Park,2
Jefferson Park,4
Kenwood,1
Lake View,3
Lincoln Park,4
Lincoln Square,5
"Little Italy, UIC",1
Little Village,2
Logan Square,8
Loop,3
Lower West Side,1
Mckinley Park,2
New City,2
North Center,6
North Lawndale,2
Old Town,1
Portage Park,3
Printers Row,1
Rogers Park,2
Roseland,1
Rush & Division,2
Sheffield & DePaul,1
South Chicago,1
South Shore,2
United Center,1
Uptown,5
Washington Heights,1
West Lawn,1
West Pullman,1
West Ridge,3
West Town,2
Wicker Park,1
Woodlawn,1
